word	nodeType	unit
certain	ADJ	grimm
beautiful	ADJ	grimm
golden	ADJ	grimm
ripe	ADJ	grimm
angry	ADJ	grimm
eld	ADJ	grimm
asleep	ADJ	grimm
second	ADJ	grimm
asleep	ADJ	grimm
third	ADJ	grimm
last	ADJ	grimm
young	ADJ	grimm
pure	ADJ	grimm
golden	ADJ	grimm
golden	ADJ	grimm
worth	ADJ	grimm
more	ADJ	grimm
whole	ADJ	grimm
eld	ADJ	grimm
golden	ADJ	grimm
little	ADJ	grimm
ready	ADJ	grimm
good	ADJ	grimm
golden	ADJ	grimm
opposite	ADJ	grimm
other	ADJ	grimm
pleasant	ADJ	grimm
beautiful	ADJ	grimm
other	ADJ	grimm
poor	ADJ	grimm
mean	ADJ	grimm
other	ADJ	grimm
dirty	ADJ	grimm
poor	ADJ	grimm
silly	ADJ	grimm
shabby	ADJ	grimm
charming	ADJ	grimm
smart	ADJ	grimm
eld	ADJ	grimm
second	ADJ	grimm
same	ADJ	grimm
good	ADJ	grimm
eld	ADJ	grimm
same	ADJ	grimm
young	ADJ	grimm
wide	ADJ	grimm
golden	ADJ	grimm
long	ADJ	grimm
fond	ADJ	grimm
afraid	ADJ	grimm
ill	ADJ	grimm
same	ADJ	grimm
good	ADJ	grimm
thankful	ADJ	grimm
quick	ADJ	grimm
shabby	ADJ	grimm
whole	ADJ	grimm
asleep	ADJ	grimm
golden	ADJ	grimm
wooden	ADJ	grimm
close	ADJ	grimm
beautiful	ADJ	grimm
golden	ADJ	grimm
shabby	ADJ	grimm
handsome	ADJ	grimm
young	ADJ	grimm
wooden	ADJ	grimm
golden	ADJ	grimm
golden	ADJ	grimm
droll	ADJ	grimm
fine	ADJ	grimm
shabby	ADJ	grimm
golden	ADJ	grimm
loud	ADJ	grimm
next	ADJ	grimm
golden	ADJ	grimm
golden	ADJ	grimm
own	ADJ	grimm
great	ADJ	grimm
sudden	ADJ	grimm
golden	ADJ	grimm
sure	ADJ	grimm
old	ADJ	grimm
leathern	ADJ	grimm
